name_clean,orbital_period,semi_major_axis,DL,star_mass,mass,method
hd74698b,15.017,0.121,51.854,1.039,0.072,Radial Velocity
kic5621294b,961.0,2.56,2238.97,1.95,46.9,Timing
kepler40b,6.87349,0.08,2700.0,1.48,2.2,Transit
kepler950b,98.7180406,,1489.0,1.02,,Transit
toi561b,0.4465688,0.0106,86.01,0.805,0.00705,Transit
kepler351d,142.544247,,1117.85,0.89,,Transit
hd40307d,20.412,0.134,12.8,0.77,0.0275,Radial Velocity
kic7821010b,991.0,2.65,356.837,1.309,2.6,Timing
wasp169b,5.6114118,0.0681,638.0,1.337,0.561,Transit
toi4010d,14.70886,0.113,176.5,0.88,0.12003,Transit
wisej13558258b,,,16.7,0.011,9.0,Imaging
hd212301ab,2.245715,0.036,54.2304,1.22,0.4,Radial Velocity
toi1444c,16.086,,125.0,0.934,11.8,Radial Velocity
2massj15071627,,,8.0,,59.66,Imaging
kepler194d,52.814973,0.275,1133.48,,,Transit
kepler426b,3.21751883,0.0414,880.0,0.91,0.34,Transit
kepler1285b,14.7967458,,364.0,1.2,,Transit
kepler1289b,7.99019627,,1059.0,1.1,,Transit
kmt2021blg2294b,,1.05,6830.0,0.125,0.07,Microlensing
kepler161b,4.921355,0.054,434.632,0.827,,Transit
kepler116b,5.968734,0.069,982.04,1.16,,Transit
kepler1098b,2.54307286,,876.0,0.99,,Transit
kepler1778b,10.08740044,0.0956,1276.29,1.06,,Transit
kepler1488c,6.158269882,0.0658,905.825,1.03,,Transit
g12462bb,36500.0,12.7,35.74,0.588,72.0,Imaging
scrj18456357b,,4.5,3.85,0.09,45.0,Imaging
kepler252c,10.848463,0.08,383.59,0.52,,Transit
gaia5b,358.57,,,0.36202276,20.93,Astrometry
kepler208d,11.131786,0.103,793.01,1.03,,Transit
gl686b,15.53,0.0912,8.1593,0.42,0.02029,Radial Velocity
wasp68ab,5.084298,0.06206,226.7,1.011,0.95,Transit
2massj05065236,,,17.6,,26.0,Imaging
kepler1468b,8.23984869,,1899.24,1.03,,Transit
kepler1001c,9.18186,,1009.0,0.9,,Transit
hd190622c,315.7,0.921,88.74,1.044,0.714,Radial Velocity
toi1799b,7.085738,0.071,62.13,1.0,0.013,Transit
hd97658b,9.489295,0.08,21.1,0.85,0.02457,Transit
hats38b,4.375021,0.05036,347.7,0.89,0.074,Transit
kepler335b,6.562331,0.075,1327.48,0.99,,Transit
2massj02533206,,,49.33,,65.1,Imaging
k2104b,1.974238,0.023,190.21,0.43,,Transit
kepler679b,12.39358604,,968.0,0.87,,Transit
k2397b,3.572326,0.0447,199.354,0.937,0.02121,Transit
2massj21401625b,7340.0,3.53,25.0,0.08,20.0,Imaging
k2287b,14.893291,0.1206,159.05,1.06,0.315,Transit
lhs5166b,,160.0,18.6942,0.21,58.0,Imaging
roxs12ab,,210.0,120.0,0.87,16.0,Imaging
k257b,9.0063,0.0746,266.23,0.68,,Transit
kepler435b,8.6001536,0.0948,2070.0,1.54,0.84,Transit
k2299b,4.50756,,369.888,0.93,,Transit
kmt2019blg1042b,,1.7,6600.0,0.3,0.19,Microlensing
wasp19ab,0.78884,0.016634,266.54,0.904,1.139,Transit
kepler191c,17.738506,0.128,604.75,0.85,,Transit
hats20b,3.7992969,0.04619,454.0,0.91,0.273,Transit
kepler1570b,26.548955,,463.0,0.92,,Transit
kepler155b,5.931194,0.056,295.99,0.58,,Transit
hd14787b,676.6,1.7,119.5,1.43,1.121,Radial Velocity
2massj23331240b,814315.0,117.0,79.84542,0.343,20.0,Imaging
kepler485b,3.2432598,,1173.0,1.07,,Transit
k2357b,16.3488637,0.145,517.687,0.98,,Transit
hd219134d,46.71,0.225,6.55,0.794,0.05236,Radial Velocity
2massj021939b,,156.0,39.4,0.11,13.9,Imaging
innesstarb,20.129,0.111,12.67,0.35,0.03285,Radial Velocity
sorij0539222024552,,,352.0,,44.0,Imaging
kepler114b,5.188549,0.053,261.49,0.71,0.022,Transit
hd81688b,184.02,0.66,88.26,2.1,1.77,Radial Velocity
kepler616c,90.4113556,,945.775,0.98,,Transit
kepler1327b,14.88801098,,688.0,1.02,,Transit
sdssj22490044b,146000.0,17.0,54.0,,22.0,Imaging
kepler164c,10.945723,0.097,914.18,1.11,,Transit
kepler130ac,27.50868,0.1739,316.663,1.091,,Transit
hd31527d,274.2,0.8181,38.6,,0.0519,Radial Velocity
moa2007blg197lb,,4.29,4170.0,0.82,41.0,Microlensing
hd10647ab,1003.0,2.03,17.3,1.1,0.93,Radial Velocity
kepler1822b,22.13339996,0.1416,897.597,0.92,,Transit
hd38677d,2.882,0.0422,62.0,1.21,0.01054,Radial Velocity
kepler20ac,10.8540774,0.094,282.563,0.929,0.0349,Transit
k27b,28.67992,0.1814,738.553,1.0,,Transit
kmt2022blg0440lb,,1.9,3500.0,0.53,0.0485,Microlensing
kepler896b,144.547396,,2334.93,0.92,,Transit
kepler382b,5.262155,0.055,960.89,0.8,,Transit
hd33632ab,35429.0,24.1,26.39,1.1,51.7,Imaging
kepler418b,86.67856,,1002.53,0.98,1.1,Transit
hd128356b,298.2,0.87,26.03,0.65,0.89,Radial Velocity
hd204313e,7325.6,7.457,47.37,1.045,15.317,Radial Velocity
hd139357b,1125.7,2.36,121.4,1.35,9.76,Radial Velocity
plzj100,,,134.0,,11.0,Imaging
wolf1069b,15.564,0.0672,9.5747,0.167,0.00396,Radial Velocity
psrj20521219b,0.12959037294,0.005659,4600.0,1.4,38.0,Timing
tyc82525331b,4439000.0,570.0,129.5,1.2,52.0,Imaging
toi4342c,10.688716,0.0814,61.543,0.6296,,Transit
hd93963ac,3.6451398,0.04813,82.34,1.109,,Transit
wasp90b,3.916243,0.0562,340.0,1.55,0.63,Transit
toi257b,18.38827,0.1523,77.07,1.389,0.134,Transit
k2167b,9.9785275,,81.08,1.02,,Transit
kepler370b,4.57953,0.054,1207.64,0.94,,Transit
flmnj05413450154500,,,415.0,,30.0,Imaging
kepler1349b,2.12823928,,260.0,1.16,,Transit
k2189b,2.588309,0.0361,243.93,0.94,,Transit
k2387b,28.735327,0.1523,266.318,0.57,0.14303,Transit
toi260b,13.47583,0.0943,20.21,0.616,0.02961,Transit
hd285507b,6.0962,0.0729,41.3,0.734,0.917,Radial Velocity
kic10255705b,707.3793,1.6,,1.1,,Transit
hip41378d,1113.4465,,116.0,1.15,,Transit
gaia4b,571.3,,,0.639188,11.8,Astrometry
kepler126c,21.869741,0.162,239.03,,,Transit
rxj151163249bb,,2920.0,157.0,0.8,39.8,Imaging
k2275ac,8.438756,0.075,123.438,0.772,,Transit
kepler1832b,3.138789892,0.037,486.174,0.91,,Transit
kepler1482ab,12.25384348,0.1016,442.0,0.98,,Transit
hd1666ab,270.0,0.94,110.6,1.5,6.43,Radial Velocity
hd159243b,12.62,0.11,69.2,1.125,1.13,Radial Velocity
toi3321b,3.6525145,0.047,,,0.554,Transit
kepler820b,127.8338098,,989.0,1.23,,Transit
hd165131b,2343.0,3.59,57.4263,1.06,19.0,Radial Velocity
toi4600c,482.8191,1.152,216.45,0.89,,Transit
kepler169c,6.195469,0.062,411.34,0.86,,Transit
corot7ad,8.966,0.08,150.0,0.93,0.053935,Radial Velocity
k2154b,3.67626,0.0405,129.8,0.65,,Transit
toi1408c,2.1664,0.03587,139.484,1.375,0.0239,Transit
lp71447b,4.052037,0.0417,52.7,0.59,0.0969,Transit
kepler373b,5.535309,0.06,1125.74,0.87,,Transit
ogle2016blg0263lb,,6.5,6500.0,0.13,4.1,Microlensing
toi2019b,15.3444,0.1203,198.0,0.987,0.1089,Transit
kepler299c,6.885875,0.07,1084.89,0.97,,Transit
k2391b,4.622654,0.0495,507.94,0.757,0.00783,Transit
2massj14165006,,,44.0,,59.02,Imaging
koi2700b,0.910022,,,0.632,0.00271,Transit
kepler308b,9.694928,0.09,1384.3,,,Transit
wasp5b,1.6284246,0.02729,297.0,1.0,1.637,Transit
hd104067b,55.851,0.2674,20.8,0.791,0.1954,Radial Velocity
kepler1549b,214.886545,,792.0,0.88,,Transit
kepler1524b,70.9674603,,506.0,1.17,,Transit
cd26134b,,2600.0,87.5564,0.8,60.0,Imaging
ogle2009blg151lb,,0.31,390.0,,7.5,Microlensing
kepler1038b,148.4603382,,584.136,0.89,,Transit
kepler1738b,7.674630165,0.0781,1302.87,1.02,,Transit
k2137b,0.179715,0.0058,99.15,0.46,0.5,Transit
psrj18242452gb,0.1046,0.004875,5600.0,1.4,11.0,Timing
hatp47b,4.732182,0.0615,268.0,1.387,0.206,Transit
hatp55b,3.5852467,0.04604,480.0,1.013,0.582,Transit
ngts15b,3.27623,0.0441,791.0,0.995,0.751,Transit
kepler257b,2.382667,0.034,797.75,,,Transit
toi1680b,4.8026,0.03144,,0.18,0.01001,Transit
sch06j03592009,,,117.76,,60.0,Imaging
kepler42c,0.45328509,0.006,38.7,0.13,0.006,Transit
ulasj00471546b,,65.0,,,36.0,Imaging
hd142666b,,75.0,148.0,2.0,5.0,Imaging
kepler1062b,9.30412078,,388.0,0.75,,Transit
moa2016blg231b,,0.88,2850.0,,9.0,Microlensing
kepler1728b,4.782999992,0.0535,651.783,0.83,,Transit
kepler97c,789.0,,405.58,0.94,1.08,Radial Velocity
kmt2016blg1107b,,0.342,6651.0,0.087,3.283,Microlensing
kepler385g,5.0,,1493.94,1.09,,Transit
2massj05584501b,,1043.0,,,9.0,Imaging
kepler119b,2.422082,0.035,716.23,,,Transit
yses2b,,114.0,109.25,1.1,6.3,Imaging
hatp15b,10.863502,0.0964,190.0,1.013,1.946,Transit
kepler385e,30.0,,1493.94,1.09,,Transit
kepler561c,5.35016198,,667.0,0.96,,Transit
kepler1589b,0.99166527,,1418.0,1.18,,Transit
k2188b,1.742169,0.0289,452.9,1.06,,Transit
hatp41ab,2.694047,0.0426,348.185,1.32,0.8,Transit
kepler464b,7.25696522,,653.0,1.21,,Transit
hd99283b,310.4,1.08,,,0.97,Radial Velocity
hatp13b,2.916415,0.045,214.0,1.22,0.9,Transit
kepler1578b,1.45088691,,1016.0,0.9,,Transit
psi1drabb,3117.0,4.43,22.16,1.19,1.53,Radial Velocity
k299b,18.24783,0.153,522.29,1.63,0.87,Transit
wdj06014625b,7484700.0,2900.0,,0.54,50.0,Imaging
kepler388b,3.173315,0.036,611.32,0.59,,Transit
kepler51d,130.194,0.509,783.831,0.985,0.024,Transit
lspmj07385254b,,530.0,47.0961,0.264,60.0,Imaging
kepler725b,39.64317811,,778.0,0.88,,Transit
kepler20ad,77.611455,0.349,282.563,0.929,0.040733,Transit
kepler319c,6.941357,0.069,510.83,1.29,,Transit
hip57274b,8.1352,0.07,25.92,0.73,0.036,Radial Velocity
nltt2274ab,,483.0,30.7671,0.3,60.0,Imaging
hd122562c,85.0,0.406,53.2528,1.13,0.23,Radial Velocity
kepler1602b,11.17931605,,815.0,1.22,,Transit
qatar4b,1.8053949,0.02861,,0.896,5.85,Transit
cfhtpl12b,27740.0,7.75,125.0,,37.8,Imaging
toi1478b,10.180249,0.0903,153.0,0.946,0.847,Transit
kepler656b,1.26025909,,867.0,0.86,,Transit
hats7b,3.185315,0.04012,257.0,0.849,0.12,Transit
hhj3,,,143.1,,44.0,Imaging
hd40307c,9.621,0.0812,12.8,0.77,0.0202,Radial Velocity
k2332b,17.70632,0.08597,123.202,0.27,,Transit
hd20782b,591.9,1.381,36.02,1.0,1.9,Radial Velocity
kepler521b,22.20813214,,737.0,1.34,,Transit
kmt2018blg1996lb,,1.97,5910.0,0.69,1.22,Microlensing
k2168c,8.050722,0.06231,245.56,0.88,,Transit
kepler1568b,20.925392,,883.0,1.09,,Transit
toi3331b,2.0180231,0.03144,224.9,,2.27,Transit
usco16082232,,,146.0,,17.0,Imaging
k2342b,11.561052,0.10044,208.357,1.01,,Transit
kepler162c,19.446355,0.137,855.641,1.03,,Transit
hats19b,4.569673,0.0589,780.0,1.303,0.427,Transit
kepler384b,22.597053,0.148,919.44,0.76,,Transit
wd1856534b,1.4079405,0.0204,24.754,0.518,,Transit
2massj16302018b,,551.63,182.046,0.621,13.5,Imaging
cfbdsj15041027,,,20.4,,43.97,Imaging
kepler193c,50.697494,0.286,1038.87,,,Transit
kepler1680b,8.77424,0.0784,313.12,0.832,,Transit
kepler614b,14.03491514,,571.0,0.85,,Transit
k265b,12.6475,0.1014,78.06,0.87,,Transit
hd145934ab,2751.5,4.89,227.881,1.748,2.072,Imaging
hd28109d,84.26,0.411,140.087,1.26,,Transit
kepler1462b,65.6488341,,1368.0,1.0,,Transit
proximacentaurib,11.1881,0.04856,1.295,0.12,0.00337,Radial Velocity
kepler33b,5.66793,0.0677,1252.84,1.29,,Transit
toi669b,3.945548,0.048,142.87,1.0,0.031,Transit
kepler276d,48.648,,1181.73,0.96,0.051,Transit
kepler1559b,0.97191543,,580.0,0.86,,Transit
2massj12473816,,,76.6,,17.4,Imaging
ogle2019blg0954lb,,2.65,3630.0,0.8,14.2,Microlensing
ugcsj04222655,,,140.0,,5.0,Imaging
flmnj05413770155097,,,415.0,,30.0,Imaging
sdssj15341615,,,36.2,,23.0,Imaging
toi1836ab,20.38084,0.1577,191.649,1.261,0.092,Transit
wasp141b,3.310651,0.0469,570.0,1.25,2.69,Transit
toi1386c,227.6,0.739,,,0.31,Radial Velocity
kepler1956b,5.943719864,0.0563,360.468,0.656,,Transit
cd24407b,,6900.0,67.7595,0.88,50.0,Imaging
toi1246d,18.6559,0.131,170.7,0.87,0.0167,Transit
psrj16303550b,0.315863166,,1350.0,1.4,11.3,Timing
sdssj20470718,,,29.0,,46.25,Imaging
kepler865b,14.16399294,,664.0,0.93,,Transit
k2407c,9.22453,0.08267,218.376,0.881,0.00783,Transit
k2175ab,9.525988,,249.01,1.081,,Transit
abaurb,,93.9,144.0,2.4,9.0,Imaging
hd156279b,131.05,0.495,36.6,0.93,9.71,Radial Velocity
hd113538b,663.2,1.24,15.8,0.585,0.36,Radial Velocity
parlup31,,,150.0,,40.0,Imaging
wdj21226600b,,28000.0,54.0,0.63,60.0,Imaging
hd45350b,890.76,1.92,49.0,1.02,1.79,Radial Velocity
kepler1206b,1.21699766,,807.0,0.8,,Transit
kepler765b,27.6655226,,1000.0,1.05,,Transit
toi1278b,14.47567,0.095,75.47,0.55,18.5,Transit
sdssj00002554,,,15.5,,47.56,Imaging
kepler1331b,0.78916165,,365.0,0.72,,Transit
kepler1851b,12.02289963,0.1016,1589.81,1.0,,Transit
kepler51c,85.312,0.384,783.831,0.985,0.013,Transit
k2298b,4.1698,0.035,441.94,0.8,,Transit
kepler999ab,5.99185827,0.0681,568.0,1.29,,Transit
ogle2018blg0360,,3.6,6400.0,0.72,45.0,Microlensing
sonycngc133336,,,300.0,,6.0,Imaging
kepler206b,7.781987,0.078,604.81,0.94,,Transit
kepler467b,24.99324193,,458.0,1.05,,Transit
kepler1176b,24.1738579,,1023.0,1.01,,Transit
kepler129b,15.79186,0.131,413.68,1.18,,Transit
cperib,0.01968,0.001246,804.0,0.75,35.0,Timing
psrj18242452lb,0.22571,0.008162,5600.0,1.4,22.0,Timing
sdssj16041000b,0.1433707,0.004,7890.0,0.3,50.0,Other
toi1518b,1.902603,0.039,,1.79,2.3,Transit
toi431d,12.46103,0.098,32.61,0.78,0.0311,Transit
bd48740b,733.0,1.7,678.933,1.09,1.7,Other
kepler599b,15.65562652,,627.0,0.83,,Transit
kepler393c,14.613612,0.124,904.28,1.32,,Transit
k2194b,39.721386,,640.65,1.11,,Transit
hatp25b,3.652836,0.0466,297.0,1.01,0.567,Transit
k2188c,7.810253,0.0785,452.9,1.06,,Transit
kepler1238b,4.14787559,,1533.0,1.3,,Transit
kepler76b,1.5449298,0.0274,842.87,1.2,2.01,Other
kepler1660b,239.48,1.0,1188.54,1.24,4.89,Timing
sipsj06414322,,,19.54,,66.67,Imaging
kepler381d,8.256299973,0.085,269.39,1.34,,Transit
kepler60d,11.8981,0.10548,1056.17,1.04,0.01309,Transit
k2285c,7.138048,0.0824,155.65,0.83,0.04933,Transit
gj3138d,257.8,0.698,,0.681,0.033,Radial Velocity
xo2sb,18.22,0.1347,149.0,0.98,0.26,Radial Velocity
kepler316c,6.827766,0.058,389.22,0.53,,Transit
kepler262c,21.853722,0.152,624.08,,,Transit
wasp138b,3.634433,0.0494,308.0,1.22,1.22,Transit
k2328b,2.0478,0.0296,577.6,0.727,,Transit
kepler1110b,9.69312032,,726.0,0.73,,Transit
kepler723b,4.08227507,,965.0,0.92,,Transit
dancej160645532121595,,,145.0,,10.0,Imaging
kepler1443ab,2.41811321,,475.0,1.19,,Transit
wasp32b,2.71865,0.0394,,1.1,3.6,Transit
k2325b,6.93,0.0419,111.98,0.27,,Transit
hatp19b,4.008784,0.0466,215.0,0.842,0.292,Transit
wasp99b,5.75251,0.0717,,1.48,2.78,Transit
wasp192b,2.8786765,0.0408,,,2.3,Transit
tyc17441231b,,7100.0,68.8155,0.63,60.0,Imaging
hd37605b,55.01307,0.2837,44.0,1.0,2.813,Radial Velocity
kepler305e,3.20538,,889.64,0.83,,Transit
hd118203b,6.13499,0.07082,88.6,1.353,2.17,Radial Velocity
kepler839b,37.8144514,,833.0,1.22,,Transit
toi1695b,3.1342788,0.033548,44.99,0.54,0.0182,Transit
toi771b,2.326021,0.0207,25.28,0.22,0.0088,Transit
2massj09535055b,,2100.0,27.99,0.131,30.0,Imaging
4u1905000b,0.055417,0.001828,8750.0,1.4,50.0,Timing
toi4515b,15.266446,0.118,193.8,0.95,2.0,Transit
hd220197b,1728.0,2.729,64.5,0.91,0.2,Radial Velocity
nu2lupb,11.577794,0.0963,14.8,,0.01472,Radial Velocity
kepler1921c,3.157219887,0.0454,928.989,1.17,,Transit
kepler260c,76.050178,0.332,638.85,0.88,,Transit
kepler1656c,1919.0,3.053,186.88,1.03,0.3977,Radial Velocity
asr28,,,300.0,,3.5,Imaging
kepler249b,3.306539,0.035,191.44,,,Transit
kepler665b,16.01310205,,651.0,0.79,,Transit
wasp174b,4.2337005,0.05503,,1.28,0.33,Transit
ogle2019blg0960b,,1.6,880.0,0.47,0.00708,Microlensing
hd2952b,311.6,1.2,115.2,2.54,1.6,Radial Velocity
ic13964,,,905.0,,60.0,Imaging
toi2000b,3.098331,0.0426,173.6,1.074,0.0324,Transit
kepler877b,18.45847097,,572.0,0.85,,Transit
trappist1b,1.51087081,0.01111,12.1,0.08,0.0027,Transit
hatp64b,4.007232,0.05387,635.0,1.298,0.58,Transit
k2219b,3.901287,,328.42,1.02,,Transit
kepler218d,124.5244647,,669.02,,,Transit
hd156098b,21.9,0.167,48.249,1.29,0.05,Radial Velocity
2massj05000330,,,13.32,,63.68,Imaging
hd102329b,778.1,2.01,158.0,1.95,5.9,Radial Velocity
hd3167d,8.4112,0.0763,47.36,0.94,0.01362,Radial Velocity
mascara1b,2.14878,0.043,188.7,1.72,3.7,Transit
kelt6b,7.8456067,0.0747,,1.126,0.44,Transit
hd149782b,7239.7,7.406,70.6875,1.02,53.632,Radial Velocity
psrj00247204rb,0.0662,0.0036,,,30.0,Timing
hd177830ac,110.9,0.5137,59.0,1.47,0.15,Radial Velocity
hd89345b,11.81399,0.105,126.6,1.12,0.1123,Transit
k271b,6.98541,0.0559,153.86,0.48,,Transit
kepler949b,8.6893073,,572.0,0.89,,Transit
kepler1988ab,11.49499989,0.1038,513.426,1.127,,Transit
kepler879b,33.3855938,,802.672,1.0,,Transit
scopms42bb,7872642.601,615.0,133.486,0.421,43.1,Imaging
kepler1070b,6.2216147,,1040.0,1.21,,Transit
hd81817c,623.0,2.325,269.126,4.3,22.609,Radial Velocity
hd180053b,213.72,,126.3,1.75,2.194,Radial Velocity
k2279b,7.122605,0.067,183.8,0.79,,Transit
moa2011blg274b,,40.0,800.0,,0.8,Microlensing
k2183b,0.469269,0.0116,329.041,0.95,,Transit
toi4308b,9.151201,,108.932,0.9,0.02029,Transit
kepler257d,24.664551,0.16,797.75,,,Transit
hats34b,2.1061607,0.03166,532.0,0.955,0.941,Transit
kepler824b,4.51436633,,1352.0,1.15,,Transit
tic139270665c,1010.0,2.0,147.8,1.035,4.89,Radial Velocity
kepler511c,26.62949944,0.1813,448.0,1.0,,Transit
kepler229b,6.252972,0.062,845.88,,,Transit
hd163607b,75.2203,0.362,69.0,1.12,0.7836,Radial Velocity
toi2045b,9.077534,0.093,366.962,1.157,0.6639,Transit
kepler719b,5.00731778,,1427.0,0.99,,Transit
hd181234ab,7593.4,7.427,47.84,1.01,9.379,Radial Velocity
hatp3ab,2.899703,0.03866,130.0,0.917,0.591,Transit
2massj05330156,,,400.0,,60.0,Imaging
k2210b,0.570233,,177.39,0.91,,Transit
psrj22415236b,0.1456722395,,500.0,1.35,12.0,Timing
2m1510a,,,36.6,,28.1,Transit
cfbdsj21390220,,,10.4,,16.2,Imaging
bd202457b,379.63,1.45,1670.0,2.8,21.42,Radial Velocity
k2233d,24.3662,0.1527,67.64,0.8,0.0261,Transit
hh211b,14700.0,4.6,280.0,0.05,30.0,Other
hatp33ab,3.474474,0.0503,419.0,1.403,0.763,Transit
sorij054037820240011,,,385.0,,7.4,Imaging
kepler1693b,12.0999,0.1015,760.065,0.95,,Transit
2massj15032525,,,7.0,,44.34,Imaging
kepler447b,7.79430132,0.0769,270.12,1.0,1.37,Transit
kepler1532b,1.09366356,,824.0,0.91,,Transit
kepler1751,7.017310143,0.0712,1291.47,1.02,,Transit
sdssj14351129,,,27.47,,58.0,Imaging
kepler170c,16.665863,0.131,754.64,,,Transit
